full_name,name
pele,pele
diego maradona,maradona
zinedine zidane,zidane
ronaldo,ronaldo
ronaldinho,ronaldinho
johan cruyff,cruyff
lev yashin,yashin
paolo maldini,maldini
mane garrincha,garrincha
ferenc puskas,puskas
lionel messi,messi
roberto baggio,baggio
thierry henry,henry
franco baresi,baresi
carlos alberto torres,carlos alberto
marco van basten,van basten
ruud gullit,gullit
george best,best
lothar mattheus,mattheus
eusebio,eusebio
eric cantona,cantona
xavier hernandez,xavi
robert lewandowski,lewandowski
ryan giggs,giggs
javier zanetti,zanetti
alessandro nesta,nesta
fabio cannavaro,cannavaro
rivaldo,rivaldo
hristo stoichkov,stoichkov
luis figo,figo
andrea pirlo,pirlo
ruud van nistelrooy,van nistelrooy
raul gonzalez blanco,raul
hugo sanchez,hugo sanchez
bobby moore,moore
emilio butragueno,butragueno
gary lineker,lineker
alessandro del piero,del piero
carles puyol saforcada,puyol
dennis bergkamp,bergkamp
peter schmeichel,schmeichel
garrincha,garrincha
kenny dalglish,dalglish
cristiano ronaldo,ronaldo
samuel eto'o,eto'o
jan oblak,oblak
alan shearer,shearer
paul scholes,scholes
marcel desailly,desailly
clarence seedorf,seedorf
robert pirès,pirès
michael ballack,ballack
michael owen,owen
david trezeguet,trezeguet
pavel nedved,nedved
andriy shevchenko,shevchenko
steven gerrard,gerrard
riquelme,riquelme
didier drogba,drogba
edwin van der sar,van der sar
kaka,kaka
fernando hierro ruiz,fernando hierro
gheorghe hagi,hagi
ronald koeman,koeman
socrates,socrates
michael laudrup,laudrup
patrick kluivert,kluivert
patrick vieira,vieira
roberto carlos,roberto carlos
laurent blanc,blanc
miroslav klose,klose
ian rush,rush
kevin de bruyne,de bruyne
neymar jr,neymar jr
philipp lahm,lahm
fernando torres,torres
bastian schweinsteiger,schweinsteiger
petr cech,cech
harry kane,kane
mohamed salah,salah
sadio mane,mane
roy keane,keane
jay-jay okocha,okocha
rui manuel cesar costa,rui costa
filippo inzaghi,inzaghi
gianfranco zola,zola
emmanuel petit,petit
claude makelele,makelele
frank lampard,lampard
jari litmanen,litmanen
rio ferdinand,ferdinand
hernan crespo,crespo
michael essien,essien
anderson luis de souza,anderson
luis hernandez,hernandez
frank rijkaard,rijkaard
marc overmars,overmars
henrik larsson,larsson
christian vieri,vieri
juan sebastian veron,sebastian
pep guardiola,guardiola
virgil van dijk,van dijk
alisson,alisson
kylian mbappe,mbappe
marc-andre ter stegen,ter stegen
davor suker,suker
nemanja vidic,vidic
thibaut courtois,courtois
sergio ramos,sergio ramos
karim benzema,benzema
sol campbell,campbell
gennaro gattuso,gattuso
john barnes,barnes
ian wright,wright
gianluca zambrotta,zambrotta
sergio aguero,aguero
manuel neuer,neuer
casemiro,casemiro
ashley cole,cole
ederson,ederson
joshua kimmich,kimmich
bruno fernandes,bruno fernandes
heung min son,son
kalidou koulibaly,koulibaly
eden hazard,hazard
n'golo kante,kante
hidetoshi nakata,nakata
raheem sterling,sterling
toni kroos,kroos
paulo dybala,dybala
samir handanovic,handanovic
luis suarez,suarez
roberto firmino,roberto firmino
aymeric laporte,laporte
angel di maria,di maria
oyarzabal,oyarzabal
antoine griezmann,griezmann
aubameyang,aubameyang
luka modric,modric
ciro immobile,immobile
jadon sancho,sancho
trent alexander-arnold,alexander-arnold
wojciech szczesny,szczesny
bernardo silva,bernardo silva
andrew robertson,robertson
fabinho,fabinho
keylor navas,navas
sergio busquets,sergio busquets
giorgio chiellini,chiellini
hugo lloris,lloris
alejandro gomez,gomez
jamie vardy,vardy
thomas muller,muller
dries mertens,mertens
douglas costa,douglas costa
david silva,david silva
marco reus,reus
paul pogba,pogba
romelu lukaku,lukaku
mats hummels,hummels
yann sommer,sommer
marco verratti,verratti
pique,pique
jordan henderson,henderson
carvajal,carvajal
de gea,de gea
raphaël varane,varane
jordi alba,jordi alba
timo werner,werner
hakim ziyech,ziyech
wissam ben yedder,ben yedder
erling haland,haland
thomas partey,partey
thiago silva,thiago silva
ansu fati,fati
axel witsel,witsel
kyle walker,walker
sergej milinkovic-savic,milinkovic-savic
jesus corona,corona
christian eriksen,eriksen
peter gulacsi,gulacsi
andrej kramaric,kramaric
laurent koscielny,koscielny
parejo,parejo
marcus rashford,rashford
memphis depay,depay
guerreiro,guerreiro
luis alberto,luis alberto
jose maria gimenez,maria
florent mollet,mollet
emil forsberg,forsberg
serge gnabry,gnabry
isco,isco
wilfred ndidi,ndidi
grimaldo,grimaldo
alex sandro,sandro
lorenzo insigne,insigne
riyad mahrez,mahrez
leon goretzka,goretzka
jonathan bamba,bamba
sami khedira,khedira
iago aspas,aspas
alessio romagnoli,romagnoli
marquinhos,marquinhos
thiago,thiago
kai havertz,havertz
gianluigi donnarumma,donnarumma
georginio wijnaldum,wijnaldum
matthijs de ligt,de ligt
ricardo pereira,pereira
miralem pjanic,pjanic
leroy sane,sane
milan skriniar,skriniar
koke,koke
bernd leno,leno
clement lenglet,lenglet
leonardo bonucci,bonucci
frenkie de jong,de jong
rodrigo,rodrigo
toby alderweireld,alderweireld
diego godin,godin
mauro icardi,icardi
achraf hakimi,hakimi
martin odegaard,odegaard
alexandre lacazette,lacazette
marcel sabitzer,sabitzer
bernat,bernat
arturo vidal,vidal
zlatan ibrahimovic,ibrahimovic
radja nainggolan,nainggolan
lucas ocampos,ocampos
joe gomez,gomez
federico valverde,valverde
wilfried zaha,zaha
lopes,lopes
jose paulo bezerra m. junior,paulinho
karim bellarabi,bellarabi
lukas hradecký,hradecký
denis zakaria,zakaria
koen casteels,casteels
hirving lozano,lozano
sergi roberto carnicer,sergi roberto
cristian portugues manzanera,portugues
gabriel jesus,gabriel jesus
